"Date","Price","Open","High","Low","Change %"
"Sep 06, 2012","149.450","149.450","149.590","149.330","0.03%"
"Sep 05, 2012","149.410","149.600","149.650","149.230","-0.03%"
"Sep 04, 2012","149.450","149.550","149.670","149.380","-0.10%"
"Sep 03, 2012","149.595","149.520","149.645","149.480","-0.01%"
"Aug 31, 2012","149.610","149.270","149.660","149.200","0.15%"
"Aug 30, 2012","149.385","149.360","149.385","149.360","-0.11%"
"Aug 29, 2012","149.550","149.200","149.550","148.950","0.25%"
"Aug 28, 2012","149.180","148.850","149.220","148.790","0.19%"
"Aug 27, 2012","148.900","148.800","149.030","148.770","0.00%"
"Aug 24, 2012","148.900","149.000","149.050","148.790","0.02%"
"Aug 23, 2012","148.870","149.060","149.110","148.800","-0.15%"
"Aug 22, 2012","149.095","149.210","149.305","149.050","-0.10%"
"Aug 21, 2012","149.250","149.450","149.500","149.200","-0.07%"
"Aug 20, 2012","149.350","149.270","149.450","149.100","0.10%"
"Aug 17, 2012","149.200","149.350","149.400","149.150","-0.07%"
"Aug 16, 2012","149.300","149.270","149.390","149.150","-0.05%"
"Aug 15, 2012","149.375","149.250","149.375","149.170","0.07%"
"Aug 14, 2012","149.270","149.510","149.640","149.220","-0.22%"
"Aug 13, 2012","149.600","149.670","149.960","149.550","-0.11%"
"Aug 10, 2012","149.770","149.850","149.960","149.660","-0.09%"
"Aug 09, 2012","149.900","150.150","150.200","149.850","-0.14%"
"Aug 08, 2012","150.110","149.990","150.190","149.950","0.01%"
"Aug 07, 2012","150.090","150.210","150.260","149.950","-0.01%"
"Aug 06, 2012","150.100","150.300","150.350","150.050","-0.10%"
"Aug 03, 2012","150.250","150.140","150.300","150.140","0.03%"
"Aug 02, 2012","150.210","150.070","150.210","150.000","0.06%"
"Aug 01, 2012","150.125","149.980","150.125","149.910","0.10%"
"Jul 31, 2012","149.980","149.970","150.060","149.930","-0.01%"
"Jul 30, 2012","150.000","149.950","150.110","149.900","0.02%"
"Jul 27, 2012","149.965","150.000","150.065","149.800","-0.00%"
"Jul 26, 2012","149.970","149.950","150.130","149.920","-0.05%"
"Jul 25, 2012","150.050","149.950","150.080","149.890","0.12%"
"Jul 24, 2012","149.865","149.850","149.975","149.800","-0.02%"
"Jul 23, 2012","149.895","149.490","149.895","149.490","0.18%"
"Jul 20, 2012","149.620","149.570","149.690","149.450","0.03%"
"Jul 19, 2012","149.580","149.670","149.940","149.460","-0.07%"
"Jul 18, 2012","149.690","149.790","149.890","149.640","-0.08%"
"Jul 17, 2012","149.815","149.890","150.025","149.780","-0.07%"
"Jul 16, 2012","149.920","149.760","149.980","149.670","0.06%"
"Jul 13, 2012","149.830","149.780","149.940","149.650","-0.06%"
"Jul 12, 2012","149.920","149.770","149.950","149.770","0.03%"
"Jul 11, 2012","149.880","149.780","149.960","149.780","0.01%"
"Jul 10, 2012","149.870","149.840","149.910","149.780","0.05%"
"Jul 09, 2012","149.800","149.560","149.880","149.500","0.10%"
"Jul 06, 2012","149.645","149.600","149.645","149.600","0.00%"
"Jul 05, 2012","149.645","149.520","149.645","149.400","0.07%"
"Jul 04, 2012","149.545","149.450","149.585","149.400","0.01%"
"Jul 03, 2012","149.525","149.520","149.555","149.350","0.01%"
"Jul 02, 2012","149.515","149.300","149.575","149.240","0.01%"
"Jun 29, 2012","149.495","149.200","149.495","149.200","0.06%"
"Jun 28, 2012","149.410","149.270","149.410","149.100","0.14%"
"Jun 27, 2012","149.205","149.320","149.405","149.140","-0.10%"
"Jun 26, 2012","149.350","149.320","149.360","149.230","0.03%"
"Jun 25, 2012","149.310","149.240","149.310","149.150","0.04%"
"Jun 22, 2012","149.250","149.090","149.270","149.050","0.10%"
"Jun 21, 2012","149.100","148.850","149.140","148.750","0.15%"
"Jun 20, 2012","148.880","148.800","148.970","148.720","0.01%"
"Jun 19, 2012","148.870","148.850","148.960","148.820","-0.04%"
"Jun 18, 2012","148.930","148.990","149.040","148.820","-0.03%"
"Jun 15, 2012","148.975","148.900","149.055","148.900","-0.02%"
"Jun 14, 2012","149.005","148.950","149.015","148.840","0.04%"
"Jun 13, 2012","148.950","148.790","148.990","148.750","0.03%"
"Jun 12, 2012","148.910","148.700","148.920","148.700","0.12%"
"Jun 11, 2012","148.725","148.650","148.775","148.650","-0.00%"
"Jun 08, 2012","148.730","148.630","148.750","148.570","0.05%"
"Jun 07, 2012","148.655","148.680","148.865","148.500","-0.13%"
"Jun 06, 2012","148.850","148.700","148.940","148.630","-0.01%"
"Jun 05, 2012","148.865","148.700","148.885","148.650","0.05%"
"Jun 04, 2012","148.785","148.300","148.825","148.300","0.27%"
"Jun 01, 2012","148.380","147.900","148.380","147.900","0.27%"
"May 31, 2012","147.980","147.830","148.120","147.830","0.06%"
"May 30, 2012","147.890","147.820","147.970","147.820","-0.01%"
"May 29, 2012","147.900","147.900","148.020","147.850","-0.03%"
"May 28, 2012","147.950","147.780","148.100","147.780","0.03%"
"May 25, 2012","147.905","147.630","147.935","147.540","0.13%"
"May 24, 2012","147.720","147.680","147.800","147.600","-0.02%"
"May 23, 2012","147.750","147.700","147.860","147.630","-0.01%"
"May 22, 2012","147.765","148.050","148.085","147.730","-0.18%"
"May 21, 2012","148.030","148.050","148.100","147.900","0.00%"
"May 18, 2012","148.025","147.980","148.095","147.700","0.06%"
"May 17, 2012","147.930","147.950","148.130","147.880","-0.06%"
"May 16, 2012","148.025","147.880","148.095","147.880","0.03%"
"May 15, 2012","147.980","148.000","148.130","147.900","-0.09%"
"May 14, 2012","148.120","147.770","148.120","147.740","0.11%"
"May 11, 2012","147.950","147.900","147.980","147.780","0.07%"
"May 10, 2012","147.850","147.800","147.970","147.750","-0.01%"
"May 09, 2012","147.870","147.840","147.870","147.840","0.00%"
"May 08, 2012","147.870","147.950","147.980","147.820","-0.01%"
"May 07, 2012","147.880","147.800","147.970","147.730","0.01%"
"May 04, 2012","147.870","147.960","147.980","147.840","-0.05%"
"May 03, 2012","147.950","147.900","148.130","147.800","-0.03%"
"May 02, 2012","147.995","147.930","148.085","147.800","0.16%"
"May 01, 2012","147.765","147.720","147.765","147.720","0.00%"
"Apr 30, 2012","147.765","147.720","147.765","147.720","0.00%"
"Apr 27, 2012","147.765","147.860","147.985","147.700","-0.09%"
"Apr 26, 2012","147.905","147.830","147.935","147.740","0.07%"
"Apr 25, 2012","147.795","147.650","147.845","147.610","0.07%"
"Apr 24, 2012","147.695","147.670","147.775","147.530","-0.05%"
"Apr 23, 2012","147.765","147.800","147.945","147.690","-0.08%"
"Apr 20, 2012","147.885","147.850","147.985","147.800","0.02%"
"Apr 19, 2012","147.855","147.730","147.855","147.630","0.11%"
"Apr 18, 2012","147.690","147.700","147.720","147.560","0.02%"
"Apr 17, 2012","147.660","147.500","147.690","147.500","0.07%"
"Apr 16, 2012","147.550","147.500","147.650","147.400","-0.05%"
"Apr 13, 2012","147.630","147.680","147.730","147.530","-0.01%"
"Apr 12, 2012","147.650","147.720","147.770","147.580","-0.06%"
"Apr 11, 2012","147.745","147.550","147.785","147.550","0.10%"
"Apr 10, 2012","147.600","147.750","147.800","147.470","-0.05%"
"Apr 09, 2012","147.675","147.800","147.935","147.470","0.02%"
"Apr 06, 2012","147.650","148.350","148.400","147.590","-0.40%"
"Apr 05, 2012","148.250","148.200","148.310","148.200","0.01%"
"Apr 04, 2012","148.235","147.900","148.235","147.900","0.14%"
"Apr 03, 2012","148.030","148.100","148.230","147.910","-0.02%"
"Apr 02, 2012","148.065","147.950","148.155","147.700","0.08%"
"Mar 30, 2012","147.950","147.730","147.990","147.600","0.13%"
"Mar 29, 2012","147.765","147.600","147.775","147.600","0.04%"
"Mar 28, 2012","147.705","147.570","147.775","147.500","0.03%"
"Mar 27, 2012","147.660","147.780","147.820","147.580","-0.04%"
"Mar 26, 2012","147.715","147.800","147.825","147.550","-0.04%"
"Mar 23, 2012","147.775","147.700","147.775","147.700","0.00%"
"Mar 22, 2012","147.775","147.700","147.775","147.700","0.00%"
"Mar 21, 2012","147.775","147.700","147.775","147.700","0.00%"
"Mar 20, 2012","147.775","147.600","147.865","147.600","-0.01%"
"Mar 19, 2012","147.785","147.600","147.785","147.600","0.06%"
"Mar 16, 2012","147.690","147.600","147.750","147.450","0.07%"
"Mar 15, 2012","147.580","147.650","147.740","147.450","-0.06%"
"Mar 14, 2012","147.670","148.010","148.050","147.630","-0.20%"
"Mar 13, 2012","147.965","147.800","148.045","147.800","0.03%"
"Mar 12, 2012","147.925","147.940","148.055","147.800","-0.06%"
"Mar 09, 2012","148.015","147.990","148.015","147.990","0.00%"
"Mar 08, 2012","148.015","147.990","148.015","147.990","0.00%"
